Table 140-09001 : 1999/2000 Household Expenditure Survey - Average Monthly Household Expenditure by Commodity/Service Section/Group by Type of Housing,,,,,,,,
 ,,,,,,,,
Year,1999/2000,1999/2000,1999/2000,1999/2000,1999/2000,1999/2000,1999/2000,1999/2000
Type of housing,Public housing,Public housing,Subsidised housing,Subsidised housing,Private housing,Private housing,Overall,Overall
 ,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure
,HK$,%,HK$,%,HK$,%,HK$,%
Commodity/service section and group,,,,,,,,
Food,5044,39.3,5772,26.0,5910,21.7,5612,25.7
      1. Meals bought away from home,3035,23.6,3621,16.3,3691,13.6,3471,15.9
"       Food, excluding meals bought away from home (i.e. groups 2-26)",2009,15.6,2151,9.7,2219,8.1,2141,9.8
      2. Rice,68,0.5,60,0.3,55,0.2,60,0.3
      3. Other cereals and cereal preparations,43,0.3,48,0.2,42,0.2,43,0.2
"      4. Bread, cakes, biscuits and puddings",134,1.0,168,0.8,156,0.6,151,0.7
      5. Salt-water fish,161,1.3,158,0.7,150,0.6,155,0.7
      6. Fresh-water fish,118,0.9,103,0.5,94,0.3,103,0.5
      7. Other fresh sea products,82,0.6,79,0.4,80,0.3,81,0.4
      8. Processed sea products,86,0.7,95,0.4,88,0.3,89,0.4
"      9. Pork, locally slaughtered",222,1.7,207,0.9,196,0.7,206,0.9
"     10. Beef, locally slaughtered",35,0.3,33,0.2,37,0.1,36,0.2
     11. Live poultry,96,0.7,88,0.4,86,0.3,90,0.4
"     12. Meat, frozen",87,0.7,92,0.4,84,0.3,86,0.4
"     13. Meat, canned",8,0.1,8,[-§32],6,[-§32],7,[-§32]
"     14. Meat, others",106,0.8,102,0.5,85,0.3,95,0.4
     15. Fresh vegetables,199,1.6,192,0.9,183,0.7,190,0.9
     16. Processed vegetables,11,0.1,12,0.1,10,[-§32],11,[-§32]
     17. Fresh fruit,163,1.3,179,0.8,171,0.6,170,0.8
     18. Processed fruit,5,[-§32],7,[-§32],6,[-§32],6,[-§32]
     19. Dairy products,63,0.5,92,0.4,108,0.4,91,0.4
     20. Eggs,20,0.2,19,0.1,18,0.1,19,0.1
     21. Edible oils,36,0.3,35,0.2,29,0.1,32,0.1
     22. Beverages,84,0.7,103,0.5,111,0.4,101,0.5
     23. Sugar,4,[-§32],5,[-§32],5,[-§32],5,[-§32]
     24. Confectionery,32,0.2,38,0.2,34,0.1,34,0.2
     25. Flavourings and additives,24,0.2,29,0.1,29,0.1,28,0.1
"     26. Food, others",122,0.9,197,0.9,351,1.3,252,1.2
Housing,1573,12.2,7100,32.0,10359,38.0,7009,32.2
"     27. Rent, including rates and government rent",1394,10.9,6191,27.9,9208,33.8,6208,28.5
     28. Management fees and other housing charges,174,1.4,896,4.0,1143,4.2,793,3.6
     29. Materials for house maintenance,5,[-§32],14,0.1,8,[-§32],8,[-§32]
"Electricity, gas and water",566,4.4,668,3.0,660,2.4,631,2.9
     30. Electricity,293,2.3,334,1.5,416,1.5,363,1.7
     31. Liquefied petroleum gas,30,0.2,36,0.2,45,0.2,39,0.2
     32. Towngas,181,1.4,227,1.0,131,0.5,163,0.7
     33. Water and sewage charges,61,0.5,71,0.3,68,0.3,67,0.3
Alcoholic drinks and tobacco,273,2.1,164,0.7,219,0.8,226,1.0
     34. Chinese wines,7,0.1,4,[-§32],4,[-§32],5,[-§32]
     35. Foreign-style wines,12,0.1,17,0.1,88,0.3,51,0.2
     36. Beer,33,0.3,26,0.1,22,0.1,26,0.1
     37. Cigarettes,220,1.7,118,0.5,106,0.4,144,0.7
Clothing and footwear,662,5.2,954,4.3,1143,4.2,958,4.4
     38. Men's outerclothing,144,1.1,182,0.8,213,0.8,186,0.9
     39. Men's underclothing,11,0.1,13,0.1,14,0.1,13,0.1
     40. Women's outerclothing,243,1.9,381,1.7,454,1.7,375,1.7
     41. Women's underclothing,19,0.1,29,0.1,49,0.2,36,0.2
     42. Children's outerclothing,57,0.4,84,0.4,105,0.4,86,0.4
     43. Children's underclothing,5,[-§32],6,[-§32],8,[-§32],6,[-§32]
     44. Infants' clothing,9,0.1,12,0.1,21,0.1,15,0.1
"     45. Clothing, others",17,0.1,29,0.1,44,0.2,33,0.1
     46. Clothing materials and tailoring charges,5,[-§32],3,[-§32],5,[-§32],5,[-§32]
     47. Men's footwear,61,0.5,81,0.4,82,0.3,75,0.3
     48. Women's footwear,73,0.6,108,0.5,113,0.4,100,0.5
     49. Children's footwear,19,0.1,25,0.1,36,0.1,29,0.1
Durable goods,638,5.0,1151,5.2,1149,4.2,988,4.5
     50. Furniture,84,0.7,150,0.7,136,0.5,122,0.6
     51. Electrical appliances,103,0.8,167,0.8,161,0.6,144,0.7
     52. Video and sound equipment,63,0.5,107,0.5,121,0.4,100,0.5
     53. Tableware and kitchen utensils,16,0.1,22,0.1,34,0.1,26,0.1
"     54. Watches, cameras and optical goods",55,0.4,140,0.6,180,0.7,133,0.6
     55. Travel and sports goods,44,0.3,72,0.3,101,0.4,78,0.4
"     56. Computers, telecommunications equipment and other durable goods",274,2.1,493,2.2,416,1.5,385,1.8
Miscellaneous goods,743,5.8,1125,5.1,1222,4.5,1053,4.8
     57. Proprietary medicines and supplies,71,0.6,107,0.5,126,0.5,105,0.5
     58. Newspapers,105,0.8,109,0.5,111,0.4,109,0.5
     59. Books and periodicals,156,1.2,199,0.9,226,0.8,199,0.9
     60. Stationery,23,0.2,38,0.2,37,0.1,33,0.2
     61. Soft furnishings,25,0.2,37,0.2,40,0.1,35,0.2
     62. Cosmetics and personal care products,124,1.0,215,1.0,232,0.9,195,0.9
     63. Housing cleansing tools and supplies,26,0.2,43,0.2,40,0.1,36,0.2
     64. Jewellery,65,0.5,150,0.7,153,0.6,125,0.6
     65. Toys and hobbies,57,0.4,81,0.4,91,0.3,79,0.4
"     66. Household goods, others",90,0.7,145,0.7,166,0.6,138,0.6
Transport,1280,10.0,1951,8.8,2482,9.1,2009,9.2
     67. Purchases of and repairs to motor vehicles,89,0.7,140,0.6,499,1.8,306,1.4
     68. Motor fuel,42,0.3,127,0.6,255,0.9,165,0.8
"     69. Motor licences, insurance, instructor's fees, parking fees and tunnel tolls",116,0.9,342,1.5,492,1.8,347,1.6
     70. Taxi fares,93,0.7,145,0.7,204,0.7,159,0.7
     71. Bus fares,418,3.3,555,2.5,283,1.0,373,1.7
     72. Public light bus fares,119,0.9,104,0.5,119,0.4,117,0.5
     73. Mass Transit Railway fares,205,1.6,213,1.0,224,0.8,216,1.0
     74. Train fares,65,0.5,94,0.4,56,0.2,66,0.3
