Table 140-09003 : 2009/10 Household Expenditure Survey - Average Monthly Household Expenditure by Commodity/Service Section/Group by Type of Housing,,,,,,,,
 ,,,,,,,,
Year,2009/2010,2009/2010,2009/2010,2009/2010,2009/2010,2009/2010,2009/2010,2009/2010
Type of housing,Public housing,Public housing,Subsidised housing,Subsidised housing,Private housing,Private housing,Overall,Overall
 ,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure
,HK$,%,HK$,%,HK$,%,HK$,%
Commodity/service section and group,,,,,,,,
Food,4786,45.3,5832,30.2,6475,22.5,5859,27.1
      1. Meals bought away from home,2801,26.5,3585,18.6,4241,14.8,3695,17.1
"       Food, excluding meals bought away from home (i.e. groups 2-27)",1985,18.8,2247,11.7,2234,7.8,2164,10.0
      2. Rice,83,0.8,75,0.4,59,0.2,69,0.3
      3. Other cereals and cereal preparations,49,0.5,60,0.3,58,0.2,56,0.3
"      4. Bread, cakes, biscuits and puddings",137,1.3,174,0.9,183,0.6,168,0.8
      5. Salt-water fish,160,1.5,175,0.9,157,0.5,161,0.7
      6. Fresh-water fish,101,1.0,97,0.5,74,0.3,86,0.4
      7. Other fresh sea products,50,0.5,63,0.3,70,0.2,63,0.3
      8. Processed sea products,77,0.7,116,0.6,115,0.4,104,0.5
      9. Pork,268,2.5,262,1.4,220,0.8,242,1.1
     10. Beef,38,0.4,44,0.2,58,0.2,49,0.2
     11. Poultry,80,0.8,91,0.5,87,0.3,86,0.4
"     12. Meat, frozen",81,0.8,93,0.5,98,0.3,92,0.4
"     13. Meat, canned",14,0.1,15,0.1,13,[-§32],14,0.1
"     14. Meat, others",92,0.9,96,0.5,82,0.3,88,0.4
     15. Fresh vegetables,254,2.4,260,1.3,235,0.8,245,1.1
     16. Processed vegetables,10,0.1,12,0.1,12,[-§32],11,0.1
