Table 140-09004 : 2014/15 Household Expenditure Survey - Average Monthly Household Expenditure by Commodity/Service Section/Group by Type of Housing,,,,,,,,
 ,,,,,,,,
Year,2014/2015,2014/2015,2014/2015,2014/2015,2014/2015,2014/2015,2014/2015,2014/2015
Type of housing,Public housing,Public housing,Subsidised housing,Subsidised housing,Private housing,Private housing,Overall,Overall
 ,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure
,HK$,%,HK$,%,HK$,%,HK$,%
Commodity/service section and group,,,,,,,,
Food,6159,46.4,7739,29.7,8324,22.7,7554,27.3
      1. Meals bought away from home,3765,28.4,4992,19.1,5641,15.4,4948,17.9
"       Food, excluding meals bought away from home (i.e. groups 2-27)",2394,18.0,2747,10.5,2684,7.3,2605,9.4
      2. Rice,68,0.5,69,0.3,52,0.1,60,0.2
      3. Other cereals and cereal preparations,54,0.4,58,0.2,68,0.2,62,0.2
"      4. Bread, cakes, biscuits and puddings",159,1.2,204,0.8,223,0.6,200,0.7
      5. Salt-water fish,233,1.8,268,1.0,215,0.6,230,0.8
      6. Fresh-water fish,125,0.9,115,0.4,75,0.2,97,0.4
      7. Other fresh sea products,76,0.6,96,0.4,104,0.3,94,0.3
      8. Processed sea products,98,0.7,147,0.6,166,0.5,142,0.5
      9. Pork,328,2.5,342,1.3,261,0.7,296,1.1
     10. Beef,46,0.3,53,0.2,71,0.2,60,0.2
     11. Poultry,88,0.7,107,0.4,92,0.3,94,0.3
"     12. Meat, frozen",91,0.7,117,0.4,133,0.4,117,0.4
"     13. Meat, canned",16,0.1,16,0.1,13,[-§32],14,0.1
"     14. Meat, others",93,0.7,104,0.4,84,0.2,90,0.3
     15. Fresh vegetables,309,2.3,327,1.3,292,0.8,303,1.1
     16. Processed vegetables,12,0.1,13,[-§32],12,[-§32],12,[-§32]
     17. Fresh fruit,163,1.2,199,0.8,215,0.6,196,0.7
     18. Processed fruit,6,[-§32],8,[-§32],10,[-§32],8,[-§32]
     19. Dairy products,73,0.6,84,0.3,128,0.3,103,0.4
     20. Eggs,34,0.3,33,0.1,34,0.1,34,0.1
     21. Edible oils,46,0.3,39,0.1,33,0.1,38,0.1
     22. Carbonated drinks,10,0.1,11,[-§32],16,[-§32],13,[-§32]
     23. Other non-alcoholic beverages,56,0.4,66,0.3,87,0.2,74,0.3
     24. Sugar,4,[-§32],6,[-§32],6,[-§32],5,[-§32]
     25. Confectionery,29,0.2,33,0.1,42,0.1,36,0.1
     26. Flavourings and additives,25,0.2,26,0.1,37,0.1,31,0.1
"     27. Food, others",154,1.2,205,0.8,215,0.6,194,0.7
Housing,1608,12.1,9806,37.6,14876,40.5,9894,35.8
"     28. Rent, including rates and government rent",1576,11.9,8982,34.4,13582,37.0,9072,32.8
     29. Management fees and other housing charges,25,0.2,815,3.1,1276,3.5,809,2.9
     30. Materials for house maintenance,7,0.1,9,[-§32],18,[-§32],13,[-§32]
"Electricity, gas and water",645,4.9,749,2.9,793,2.2,740,2.7
     31. Electricity,356,2.7,420,1.6,522,1.4,453,1.6
     32. Towngas,197,1.5,224,0.9,153,0.4,179,0.6
     33. Liquefied petroleum gas and other fuel,26,0.2,32,0.1,40,0.1,34,0.1
     34. Water and sewage charges,67,0.5,73,0.3,77,0.2,73,0.3
Alcoholic drinks and tobacco,177,1.3,131,0.5,143,0.4,151,0.5
     35. Chinese wines,3,[-§32],3,[-§32],3,[-§32],3,[-§32]
     36. Foreign-style wines,23,0.2,16,0.1,58,0.2,40,0.1
     37. Beer,18,0.1,15,0.1,15,[-§32],16,0.1
     38. Cigarettes,134,1.0,97,0.4,67,0.2,93,0.3
Clothing and footwear,529,4.0,873,3.3,1237,3.4,955,3.5
     39. Men's outerclothing,107,0.8,179,0.7,221,0.6,178,0.6
     40. Men's underclothing,10,0.1,16,0.1,16,[-§32],14,0.1
     41. Women's outerclothing,186,1.4,347,1.3,533,1.5,394,1.4
     42. Women's underclothing,19,0.1,19,0.1,40,0.1,30,0.1
     43. Children's outerclothing,43,0.3,41,0.2,78,0.2,61,0.2
     44. Children's underclothing,3,[-§32],7,[-§32],8,[-§32],6,[-§32]
     45. Infants' clothing,6,[-§32],9,[-§32],24,0.1,16,0.1
"     46. Clothing, others",18,0.1,31,0.1,41,0.1,32,0.1
     47. Clothing materials and tailoring charges,1,[-§32],1,[-§32],6,[-§32],4,[-§32]
     48. Men's footwear,57,0.4,98,0.4,83,0.2,78,0.3
     49. Women's footwear,60,0.4,105,0.4,145,0.4,112,0.4
