Table 140-09002 : 2004/05 Household Expenditure Survey - Average Monthly Household Expenditure by Commodity/Service Section/Group by Type of Housing,,,,,,,,
 ,,,,,,,,
Year,2004/2005,2004/2005,2004/2005,2004/2005,2004/2005,2004/2005,2004/2005,2004/2005
Type of housing,Public housing,Public housing,Subsidised housing,Subsidised housing,Private housing,Private housing,Overall,Overall
 ,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure,Average Monthly Household Expenditure
,HK$,%,HK$,%,HK$,%,HK$,%
Commodity/service section and group,,,,,,,,
Food,4035,38.5,5020,28.8,5253,22.0,4863,25.8
      1. Meals bought away from home,2345,22.4,3108,17.8,3463,14.5,3078,16.3
"       Food, excluding meals bought away from home (i.e. groups 2-27)",1690,16.1,1912,11.0,1790,7.5,1785,9.5
      2. Rice,57,0.5,53,0.3,44,0.2,49,0.3
      3. Other cereals and cereal preparations,40,0.4,49,0.3,45,0.2,45,0.2
"      4. Bread, cakes, biscuits and puddings",126,1.2,157,0.9,160,0.7,150,0.8
      5. Salt-water fish,140,1.3,140,0.8,122,0.5,130,0.7
      6. Fresh-water fish,87,0.8,81,0.5,60,0.2,71,0.4
      7. Other fresh sea products,45,0.4,54,0.3,60,0.3,55,0.3
      8. Processed sea products,76,0.7,79,0.5,98,0.4,88,0.5
      9. Pork,206,2.0,207,1.2,165,0.7,184,1.0
     10. Beef,28,0.3,32,0.2,34,0.1,32,0.2
     11. Poultry,81,0.8,84,0.5,69,0.3,75,0.4
"     12. Meat, frozen",62,0.6,78,0.4,69,0.3,69,0.4
"     13. Meat, canned",6,0.1,7,[-§32],6,[-§32],6,[-§32]
"     14. Meat, others",82,0.8,83,0.5,69,0.3,75,0.4
     15. Fresh vegetables,185,1.8,189,1.1,166,0.7,176,0.9
     16. Processed vegetables,8,0.1,10,0.1,9,[-§32],9,[-§32]
     17. Fresh fruit,122,1.2,146,0.8,133,0.6,133,0.7
     18. Processed fruit,4,[-§32],5,[-§32],5,[-§32],5,[-§32]
     19. Dairy products,59,0.6,88,0.5,103,0.4,88,0.5
     20. Eggs,17,0.2,18,0.1,16,0.1,16,0.1
     21. Edible oils,27,0.3,25,0.1,23,0.1,24,0.1
     22. Carbonated drinks,17,0.2,19,0.1,22,0.1,20,0.1
     23. Other non-alcoholic beverages,51,0.5,67,0.4,73,0.3,65,0.3
     24. Sugar,3,[-§32],4,[-§32],4,[-§32],4,[-§32]
     25. Confectionery,28,0.3,41,0.2,38,0.2,35,0.2
     26. Flavourings and additives,20,0.2,24,0.1,24,0.1,23,0.1
"     27. Food, others",114,1.1,171,1.0,175,0.7,157,0.8
Housing,1615,15.4,5074,29.1,8267,34.6,5775,30.6
"     28. Rent, including rates and government rent",1576,15.0,4307,24.7,7325,30.6,5123,27.1
     29. Management fees and other housing charges,37,0.4,763,4.4,935,3.9,648,3.4
     30. Materials for house maintenance,3,[-§32],4,[-§32],7,[-§32],5,[-§32]
"Electricity, gas and water",550,5.3,680,3.9,684,2.9,646,3.4
     31. Electricity,282,2.7,335,1.9,424,1.8,367,1.9
     32. Towngas,181,1.7,239,1.4,149,0.6,175,0.9
     33. Liquefied petroleum gas and other fuel,26,0.2,30,0.2,39,0.2,34,0.2
     34. Water and sewage charges,62,0.6,77,0.4,72,0.3,70,0.4
Alcoholic drinks and tobacco,185,1.8,143,0.8,138,0.6,152,0.8
     35. Chinese wines,4,[-§32],4,[-§32],2,[-§32],3,[-§32]
     36. Foreign-style wines,12,0.1,17,0.1,28,0.1,22,0.1
     37. Beer,20,0.2,19,0.1,23,0.1,21,0.1
     38. Cigarettes,149,1.4,103,0.6,85,0.4,106,0.6
Clothing and footwear,466,4.4,690,4.0,1042,4.4,812,4.3
     39. Men's outerclothing,99,0.9,149,0.9,235,1.0,180,1.0
     40. Men's underclothing,6,0.1,5,[-§32],7,[-§32],7,[-§32]
     41. Women's outerclothing,177,1.7,289,1.7,436,1.8,334,1.8
     42. Women's underclothing,11,0.1,20,0.1,30,0.1,23,0.1
     43. Children's outerclothing,35,0.3,46,0.3,64,0.3,52,0.3
     44. Children's underclothing,1,[-§32],3,[-§32],6,[-§32],4,[-§32]
     45. Infants' clothing,5,0.1,10,0.1,13,0.1,10,0.1
"     46. Clothing, others",12,0.1,22,0.1,34,0.1,26,0.1
     47. Clothing materials and tailoring charges,2,[-§32],4,[-§32],7,[-§32],5,[-§32]
     48. Men's footwear,48,0.5,45,0.3,59,0.2,53,0.3
     49. Women's footwear,55,0.5,85,0.5,130,0.5,100,0.5
     50. Children's and infants' footwear,16,0.2,12,0.1,21,0.1,18,0.1
Durable goods,468,4.5,742,4.2,1129,4.7,868,4.6
     51. Furniture,42,0.4,57,0.3,108,0.5,80,0.4
"     52. Home appliances, electric and gas",114,1.1,167,1.0,168,0.7,153,0.8
     53. Video and sound equipment,59,0.6,120,0.7,190,0.8,140,0.7
     54. Computer and telecommunications equipment,160,1.5,206,1.2,271,1.1,227,1.2
     55. Tableware and kitchen utensils,9,0.1,14,0.1,25,0.1,18,0.1
"     56. Watches, clocks, cameras and optical goods",51,0.5,89,0.5,154,0.6,113,0.6
     57. Travel and sports goods,29,0.3,71,0.4,165,0.7,109,0.6
"     58. Durable goods, others",3,[-§32],17,0.1,47,0.2,29,0.2
Miscellaneous goods,610,5.8,863,4.9,1139,4.8,937,5.0
     59. Proprietary medicines and supplies,75,0.7,113,0.6,120,0.5,106,0.6
     60. Newspapers,87,0.8,100,0.6,90,0.4,91,0.5
     61. Books and periodicals,124,1.2,170,1.0,167,0.7,155,0.8
     62. Stationery,17,0.2,27,0.2,34,0.1,28,0.1
     63. Soft furnishings,25,0.2,33,0.2,36,0.2,32,0.2
     64. Cosmetics and personal care products,145,1.4,195,1.1,279,1.2,225,1.2
     65. Household cleansing tools and supplies,27,0.3,29,0.2,35,0.1,32,0.2
     66. Jewellery,22,0.2,50,0.3,101,0.4,69,0.4
     67. Toys and hobbies,46,0.4,79,0.5,158,0.7,111,0.6
"     68. Household goods, others",43,0.4,67,0.4,118,0.5,87,0.5
Transport,970,9.3,1538,8.8,2328,9.7,1793,9.5
     69. Purchases of and repairs to motor vehicles,52,0.5,123,0.7,376,1.6,236,1.3
     70. Motor fuel,25,0.2,100,0.6,246,1.0,156,0.8
"     71. Motor licences, insurance, instructor's fees, parking fees and tunnel tolls",43,0.4,214,1.2,504,2.1,318,1.7
     72. Bus fares,369,3.5,471,2.7,300,1.3,352,1.9
     73. Tram fares,1,[-§32],1,[-§32],5,[-§32],3,[-§32]
     74. Public light bus fares,99,0.9,103,0.6,110,0.5,106,0.6
     75. Taxi fares,41,0.4,80,0.5,174,0.7,119,0.6
     76. Mass Transit Railway fares,190,1.8,204,1.2,204,0.9,200,1.1
     77. Train fares,69,0.7,107,0.6,75,0.3,79,0.4
     78. Light Rail fares,19,0.2,22,0.1,10,[-§32],15,0.1
     79. Ferry fares,7,0.1,6,[-§32],20,0.1,14,0.1
"     80. Local transport, others",23,0.2,49,0.3,94,0.4,65,0.3
